customer_id,gender,senior_citizen,partner,dependents,tenure_months,internet_service,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
C100000,Male,0,1,0,65,Fiber optic,Month-to-month,1,Electronic check,97.2,6299.58,1
C100001,Female,0,1,0,54,DSL,Month-to-month,1,Bank transfer,65.09,3503.98,0
C100002,Male,0,0,0,15,DSL,Month-to-month,1,Electronic check,65.26,1010.71,1
C100003,Male,0,0,1,72,Fiber optic,One year,1,Bank transfer,91.51,6652.64,0
C100004,Female,0,0,0,72,Fiber optic,Month-to-month,1,Bank transfer,79.33,5743.89,0
C100005,Male,0,0,0,2,Fiber optic,Two year,1,Credit card,88.71,79.81,0
C100006,Male,0,0,0,1,Fiber optic,One year,1,Electronic check,90.77,64.24,1
C100007,Male,0,1,1,17,Fiber optic,One year,1,Electronic check,87.86,1497.64,0
C100008,Female,0,0,0,57,Fiber optic,Month-to-month,0,Electronic check,81.85,4627.01,0
C100009,Female,0,0,0,43,Fiber optic,Month-to-month,0,Mailed check,84.62,3598.58,0
C100010,Female,0,1,0,37,Fiber optic,Two year,1,Credit card,77.88,2866.9,0
C100011,Male,0,0,0,30,None,One year,1,Electronic check,31.91,969.39,0
C100012,Male,0,0,1,35,Fiber optic,Two year,0,Credit card,73.52,2594.81,0
C100013,Male,0,0,1,46,Fiber optic,One year,1,Electronic check,80.47,3688.76,0
C100014,Female,0,1,0,4,Fiber optic,Month-to-month,0,Credit card,90.45,346.26,0
C100015,Female,0,0,1,42,DSL,Month-to-month,1,Bank transfer,64.32,2671.91,0
C100016,Male,0,1,0,16,Fiber optic,Month-to-month,1,Credit card,83.13,1347.83,0
C100017,Female,0,1,1,57,Fiber optic,Month-to-month,1,Bank transfer,73.3,4193.5,1
C100018,Male,0,0,0,14,DSL,Two year,1,Bank transfer,61.63,894.57,0
C100019,Male,0,1,0,5,Fiber optic,Two year,1,Electronic check,81.96,414.34,0
C100020,Male,1,0,1,31,DSL,Month-to-month,1,Mailed check,65.84,1995.15,0
C100021,Female,0,0,1,32,None,Month-to-month,1,Credit card,22.87,719.63,0
C100022,Male,1,0,1,37,Fiber optic,Month-to-month,1,Electronic check,72.99,2730.62,0
C100023,Male,0,1,0,62,DSL,Month-to-month,0,Credit card,48.93,2972.92,0
C100024,Male,0,0,1,51,Fiber optic,Two year,0,Electronic check,81.58,4157.61,0
C100025,Female,0,0,1,26,Fiber optic,One year,0,Mailed check,85.87,2242.6,1
C100026,Female,0,1,0,53,Fiber optic,Month-to-month,0,Bank transfer,75.69,4081.7,0
C100027,Female,0,0,0,36,Fiber optic,Two year,0,Electronic check,78.93,2820.44,0
C100028,Female,0,1,0,16,DSL,Month-to-month,0,Bank transfer,66.34,1057.18,0
C100029,Male,0,1,0,1,DSL,Two year,0,Credit card,68.88,127.95,0
C100030,Male,0,1,1,0,Fiber optic,One year,1,Electronic check,89.22,68.63,0
C100031,Male,1,1,0,16,Fiber optic,Month-to-month,0,Electronic check,82.72,1361.13,1
C100032,Female,0,1,0,59,Fiber optic,One year,0,Electronic check,80.03,4735.51,0
C100033,Female,0,0,0,33,DSL,Month-to-month,0,Bank transfer,64.31,2114.49,0
C100034,Female,0,1,1,32,Fiber optic,One year,0,Bank transfer,82.47,2654.85,0
C100035,Female,0,1,0,29,Fiber optic,Month-to-month,1,Credit card,94.36,2731.28,0
C100036,Female,1,1,1,18,Fiber optic,Month-to-month,1,Mailed check,94.78,1785.06,1
C100037,Female,0,1,0,52,DSL,One year,1,Electronic check,65.28,3322.27,0
C100038,Female,1,1,0,0,Fiber optic,Month-to-month,1,Electronic check,83.02,73.13,1
C100039,Male,0,1,1,44,None,Month-to-month,1,Electronic check,23.64,1031.3,0
C100040,Female,0,0,0,68,DSL,Two year,1,Bank transfer,48.85,3317.11,0
C100041,Male,0,0,1,64,Fiber optic,Month-to-month,0,Credit card,84.58,5450.93,0
C100042,Male,0,1,0,26,Fiber optic,One year,0,Electronic check,84.33,2176.93,0
C100043,Female,0,1,0,62,DSL,One year,1,Credit card,50.98,3177.98,0
C100044,Male,0,0,0,17,DSL,Month-to-month,1,Mailed check,80.91,1383.57,0
C100045,Male,1,0,1,17,Fiber optic,Two year,1,Credit card,91.45,1584.0,0
C100046,Female,0,1,0,25,DSL,Month-to-month,0,Credit card,53.28,1327.2,1
